date,Throughput_Doha
2019-01-31,8.925285023959239
2019-02-28,9.95593513570673
2019-03-31,10.778606492682137
2019-04-30,13.337359203814408
2019-05-31,15.963924135417821
2019-06-30,17.440411692312395
2019-07-31,17.61200922650846
2019-08-31,18.320305200984265
2019-09-30,18.302959912469476
2019-10-31,17.77713689631674
2019-11-30,25.53035308894767
2019-12-31,23.440723450687095
2020-01-31,24.329313839833542
2020-02-29,25.39645903504826
2020-03-31,22.711014161851
2020-04-30,26.634851180342427
2020-05-31,29.88526791338498
2020-06-30,26.06556464752206
2020-07-31,25.6682202409566
2020-08-31,24.513834036833376
2020-09-30,18.03193836849432
2020-10-31,23.644301217204877
2020-11-30,26.662212202004177
2020-12-31,24.60602670605909
2021-01-31,27.73447698394725
2021-02-28,26.889129056184096
2021-03-31,26.21955080007084
2021-04-30,25.293857000327574
2021-05-31,26.77484809112144
2021-06-30,25.989581968743302
2021-07-31,28.022297496236117
2021-08-31,24.831308620680534
2021-09-30,27.70633946647551
2021-10-31,27.354815322955417
2021-11-30,27.00316018030234
2021-12-31,29.834015077120156
2022-01-31,27.148439099748163
2022-02-28,28.268750482370372
2022-03-31,26.91507406193522
2022-04-30,32.920462581979834
2022-05-31,29.067915321661303
2022-06-30,20.62498152797643
2022-07-31,22.64856153164636
2022-08-31,29.035719104154367
2022-09-30,34.30357195511184
2022-10-31,35.22004014713989
2022-11-30,29.941266775182008
2022-12-31,26.94733180107643
2023-01-31,27.051989660828653
2023-02-28,38.90434206043694
2023-03-31,44.18538378142648
2023-04-30,40.65262697849389
2023-05-31,42.50408025964329
2023-06-30,45.69205884604626
2023-07-31,52.90976040189423
2023-08-31,53.74684703767827
2023-09-30,46.98859530465807
2023-10-31,51.36946569085596
2023-11-30,63.21588629598659
2023-12-31,61.01668587895379
2024-01-31,57.63984719429641
2024-02-29,62.51219939943674
2024-03-31,75.53698181255653
2024-04-30,72.95404554292303
2024-05-31,70.47846636716692
2024-06-30,74.62900874508222
2024-07-31,73.46645207298803
2024-08-31,74.16153586877702
2024-09-30,75.36945330897645
2024-10-31,82.5884972309284
2024-11-30,83.71621737724216
2024-12-31,81.25557484493189
