date,Throughput_Dubai
2019-01-31,11.10802139557943
2019-02-28,10.904685007009649
2019-03-31,14.002538217532884
2019-04-30,11.006823045209977
2019-05-31,12.02128624490354
2019-06-30,14.3344050071859
2019-07-31,13.185196583357524
2019-08-31,10.594794570179534
2019-09-30,10.108735520192685
2019-10-31,13.166571614251374
2019-11-30,37.243042676809516
2019-12-31,43.031983653678566
2020-01-31,50.53551714663086
2020-02-29,43.80065817797425
2020-03-31,25.935158858430086
2020-04-30,33.67466427250201
2020-05-31,37.97788802659347
2020-06-30,40.00471105883936
2020-07-31,38.291011469345904
2020-08-31,35.421669251966534
2020-09-30,34.91450307132489
2020-10-31,34.72903090272611
2020-11-30,33.33691410878498
2020-12-31,36.9768500153795
2021-01-31,35.14692905729396
2021-02-28,32.31446627114429
2021-03-31,32.31786822658524
2021-04-30,31.418439282039284
2021-05-31,31.29931767605303
2021-06-30,23.57000227573708
2021-07-31,30.760233273899726
2021-08-31,21.47780796421211
2021-09-30,23.231090099249226
2021-10-31,27.36455270818706
2021-11-30,30.99776070294381
2021-12-31,33.469855354990166
2022-01-31,24.57605596960571
2022-02-28,27.192727062131045
2022-03-31,26.789707092005084
2022-04-30,28.037629358299217
2022-05-31,40.200947606154664
2022-06-30,19.537737008504486
2022-07-31,21.2396478961805
2022-08-31,29.31432068631515
2022-09-30,37.692851833670765
2022-10-31,31.09532152516473
2022-11-30,43.72944107445967
2022-12-31,58.57680900717725
2023-01-31,65.36495614351247
2023-02-28,50.65685528610761
2023-03-31,66.29398886096111
2023-04-30,72.76712402121584
2023-05-31,75.6667840061052
2023-06-30,84.08856738606137
2023-07-31,66.6227151754391
2023-08-31,67.11443523996569
2023-09-30,60.435892034017655
2023-10-31,59.748541969115585
2023-11-30,73.24180539560122
2023-12-31,91.18756098064723
2024-01-31,105.30868872389136
2024-02-29,105.40337231687666
2024-03-31,125.60079623407618
2024-04-30,135.83071342456648
2024-05-31,127.61991890604745
2024-06-30,119.00855410053167
2024-07-31,116.8871174440553
2024-08-31,119.13373935961356
2024-09-30,112.01578839108439
2024-10-31,118.68276349939589
2024-11-30,120.49520591951429
2024-12-31,126.38314934725088
