date,Throughput_Kuwaitcity
2019-01-31,4.477674604213599
2019-02-28,4.273843070347321
2019-03-31,5.871665451600838
2019-04-30,7.555580657442738
2019-05-31,9.284054405589528
2019-06-30,9.022843955549982
2019-07-31,8.024528107508017
2019-08-31,12.672599902141402
2019-09-30,11.785689432364814
2019-10-31,10.49206007599363
2019-11-30,13.909336484875112
2019-12-31,15.41126063126972
2020-01-31,14.542837249522716
2020-02-29,15.076931368413856
2020-03-31,12.358166722979398
2020-04-30,12.100948722288084
2020-05-31,13.50400781135797
2020-06-30,13.406019595260334
2020-07-31,13.815224372517436
2020-08-31,12.8849453716204
2020-09-30,13.952125961013824
2020-10-31,15.417626598309297
2020-11-30,14.585919057567258
2020-12-31,13.152868311131572
2021-01-31,14.249306849698964
2021-02-28,15.464938518700022
2021-03-31,15.555582934229463
2021-04-30,16.245826046714647
2021-05-31,18.018582829851056
2021-06-30,18.083493294742393
2021-07-31,18.205532328171646
2021-08-31,17.165073048018165
2021-09-30,14.087889297816638
2021-10-31,17.28267909661545
2021-11-30,18.101363302749128
2021-12-31,16.067199981789877
2022-01-31,16.65818933171116
2022-02-28,18.165401861379742
2022-03-31,19.69438997326117
2022-04-30,17.921295613943602
2022-05-31,19.95370577603584
2022-06-30,19.536256102510972
2022-07-31,21.843456697744177
2022-08-31,21.469222818142235
2022-09-30,17.35060046452677
2022-10-31,15.962317949058637
2022-11-30,15.625232071003456
2022-12-31,16.192969953904775
2023-01-31,15.244329800850057
2023-02-28,19.80075498326355
2023-03-31,19.264945498826705
2023-04-30,18.24564368689664
2023-05-31,17.941039025565225
2023-06-30,16.97422631711342
2023-07-31,16.674553538828434
2023-08-31,15.287555110404002
2023-09-30,15.95991395078607
2023-10-31,17.297000809353626
2023-11-30,18.69452171137675
2023-12-31,14.611128740660277
2024-01-31,15.73316850633827
2024-02-29,17.999518515887043
2024-03-31,16.65979585797145
2024-04-30,19.97722997463195
2024-05-31,24.716926935779977
2024-06-30,24.91867707561376
2024-07-31,24.79328149390117
2024-08-31,23.470079345522407
2024-09-30,20.814641289538216
2024-10-31,23.504225260011527
2024-11-30,22.946439781172266
2024-12-31,25.71002176665641
