date,Throughput_Manama
2019-01-31,2.45236356535245
2019-02-28,2.0266156336705903
2019-03-31,1.9759154351658939
2019-04-30,3.3059602887297252
2019-05-31,2.9610304036180537
2019-06-30,3.1478067857078624
2019-07-31,2.805127777747529
2019-08-31,2.2679959408959847
2019-09-30,3.0522842788286217
2019-10-31,2.957434122623712
2019-11-30,4.303509980844888
2019-12-31,5.258024695470059
2020-01-31,4.497216069355812
2020-02-29,4.434152270543562
2020-03-31,5.728777695237825
2020-04-30,6.825088729070731
2020-05-31,7.848315470998882
2020-06-30,7.490706299181938
2020-07-31,8.537524259320742
2020-08-31,13.427288792332869
2020-09-30,15.129538435325113
2020-10-31,13.446320222934256
2020-11-30,11.144694837024911
2020-12-31,14.148435425838276
2021-01-31,8.14418159134041
2021-02-28,14.212059013931869
2021-03-31,17.257278809420423
2021-04-30,17.850196259554195
2021-05-31,14.521411279098979
2021-06-30,19.03723381311765
2021-07-31,22.728202058757724
2021-08-31,26.928853771052623
2021-09-30,20.238366604266435
2021-10-31,30.508996505191302
2021-11-30,29.372958316614046
2021-12-31,19.682731793464324
2022-01-31,14.400613230395605
2022-02-28,15.140022929356949
2022-03-31,12.094881630690828
2022-04-30,14.20284774888431
2022-05-31,20.46657036334774
2022-06-30,35.064886990329605
2022-07-31,46.51087237846605
2022-08-31,38.7108892249526
2022-09-30,30.534656078297587
2022-10-31,38.24199711014395
2022-11-30,26.998222911077317
2022-12-31,22.441987153464392
2023-01-31,28.23520203743271
2023-02-28,38.449310966793284
2023-03-31,34.56959620773597
2023-04-30,29.658536219902764
2023-05-31,26.158907367841934
2023-06-30,33.08328283949945
2023-07-31,32.80233168726784
2023-08-31,33.64808473567183
2023-09-30,36.392440602353496
2023-10-31,44.71201125253765
2023-11-30,43.91447509546474
2023-12-31,47.457448044565155
2024-01-31,41.25718907066804
2024-02-29,48.81548910757208
2024-03-31,48.63037468709455
2024-04-30,49.13925643916913
2024-05-31,50.6588457929342
2024-06-30,36.852067666751516
2024-07-31,39.02324958921249
2024-08-31,34.970100226684124
2024-09-30,46.534847019873816
2024-10-31,57.74413327449096
2024-11-30,61.69135191047507
2024-12-31,59.60996254273406
