date,Throughput_Riyadh
2019-01-31,8.086047175788156
2019-02-28,8.613243805430121
2019-03-31,9.174915885660875
2019-04-30,9.39948003649811
2019-05-31,8.549999571105472
2019-06-30,9.200594530740693
2019-07-31,6.935081644790563
2019-08-31,10.852727403499323
2019-09-30,11.308995306184922
2019-10-31,11.33049504838535
2019-11-30,13.663377265528732
2019-12-31,17.734871234975483
2020-01-31,16.836021740417532
2020-02-29,17.827759643689667
2020-03-31,14.907954171945764
2020-04-30,15.397470670861013
2020-05-31,17.787167170872515
2020-06-30,17.920942109022487
2020-07-31,16.991835874855862
2020-08-31,17.9213342944837
2020-09-30,16.907168177072304
2020-10-31,18.98096030035885
2020-11-30,20.427680996190983
2020-12-31,22.061577047911484
2021-01-31,19.950771005406256
2021-02-28,19.8464518273242
2021-03-31,19.232557795118776
2021-04-30,22.883160185539325
2021-05-31,19.856978827069174
2021-06-30,20.279521247989077
2021-07-31,23.63207071762427
2021-08-31,22.2405975407152
2021-09-30,21.16378053260991
2021-10-31,21.462960273270504
2021-11-30,21.791974426386894
2021-12-31,23.213103585116677
2022-01-31,24.101401605589803
2022-02-28,24.238164808981374
2022-03-31,28.249402767199882
2022-04-30,29.92546966323845
2022-05-31,38.98817910594387
2022-06-30,39.86125126036003
2022-07-31,38.19442854020128
2022-08-31,38.4603275386721
2022-09-30,37.64520773231443
2022-10-31,37.60159678507094
2022-11-30,40.7687158326933
2022-12-31,41.80737585602557
2023-01-31,42.13133996429137
2023-02-28,37.36447386880591
2023-03-31,40.41162916649685
2023-04-30,42.91841936310723
2023-05-31,45.39084338428832
2023-06-30,45.37083011361423
2023-07-31,39.759914630030636
2023-08-31,38.75069381237503
2023-09-30,40.553706383891864
2023-10-31,41.54412043439143
2023-11-30,42.83860417463017
2023-12-31,44.73979891736711
2024-01-31,52.721229165990906
2024-01-31,52.721229165990906
2024-02-29,51.03890333054265
2024-02-29,51.03890333054265
2024-03-31,51.3246054571172
2024-03-31,51.3246054571172
2024-04-30,50.88990579272886
2024-04-30,50.88990579272886
2024-05-31,56.041106374801046
2024-05-31,56.041106374801046
2024-06-30,54.42315373705165
2024-06-30,54.42315373705165
2024-07-31,54.23552331282348
2024-07-31,54.23552331282348
2024-08-31,53.936685045207255
2024-08-31,53.936685045207255
2024-09-30,57.603466397421364
2024-09-30,57.603466397421364
2024-10-31,56.87642996490142
2024-10-31,56.87642996490142
2024-11-30,56.21360888369947
2024-11-30,56.21360888369947
2024-12-31,59.094580170652975
2024-12-31,59.093103503014966
